label,aspect,domain,range,skos,prefix,uri
mp:argues,Claim,mp:Micropublication,mp:Claim,,mp,http://purl.org/mp/
mp:asserts,Claim,mp:Micropublication,mp:Representation,,mp,http://purl.org/mp/
mp:assertedBy,Claim,mp:Representation,mp:Micropublication,,mp,http://purl.org/mp/
mp:atTime,Claim,mp:Attribution,xsd:dateTime,,mp,http://purl.org/mp/
mp:attributedTo,Claim,mp:Artifact,mp:Agent,,mp,http://purl.org/mp/
mp:attributionAsAuthor,Claim,mp:Artifact,mp:Agent,,mp,http://purl.org/mp/
mp:attributionOfAgent,Claim,mp:Attribution,mp:Agent,,mp,http://purl.org/mp/
mp:authoredBy,Claim,mp:Artifact,mp:Agent,,mp,http://purl.org/mp/
mp:authoredOn,Claim,mp:Artifact,xsd:dateTime,,mp,http://purl.org/mp/
mp:challengedBy,Claim,mp:Representation,mp:Representation,,mp,http://purl.org/mp/
mp:challenges,Claim,mp:Representation,mp:Representation,,mp,http://purl.org/mp/
mp:citation,Claim,mp:Reference,xsd:string,,mp,http://purl.org/mp/
mp:curatedBy,Claim,mp:Artifact,mp:Agent,,mp,http://purl.org/mp/
mp:dataSupports,Claim,mp:Data,mp:Representation,,mp,http://purl.org/mp/
mp:editedBy,Claim,mp:Artifact,mp:Agent,,mp,http://purl.org/mp/
mp:hasAttribution,Claim,mp:Artifact,mp:Attribution,,mp,http://purl.org/mp/
mp:methodSupports,Claim,mp:Method,mp:Representation,,mp,http://purl.org/mp/
mp:publishedBy,Claim,mp:Artifact,mp:Agent,,mp,http://purl.org/mp/
mp:qualifies,Claim,mp:Sentence,prov:Entity,,mp,http://purl.org/mp/
mp:qualifiedBy,Claim,prov:Entity,mp:Sentence,,mp,http://purl.org/mp/
mp:quotes,Claim,mp:Micropublication,mp:Representation,,mp,http://purl.org/mp/
mp:quotedBy,Claim,mp:Claim,mp:Representation,,mp,http://purl.org/mp/
mp:referencedBy,Claim,prov:Entity,mp:Reference,,mp,http://purl.org/mp/
mp:references,Claim,mp:Reference,prov:Entity,,mp,http://purl.org/mp/
mp:semtags,Claim,mp:SemanticQualifier,prov:Entity,,mp,http://purl.org/mp/
mp:semtaggedBy,Claim,prov:Entity,mp:SemanticQualifier,,mp,http://purl.org/mp/
mp:statement,Claim,mp:Sentence,xsd:string,,mp,http://purl.org/mp/
mp:supports,Claim,mp:Representation,mp:Representation,,mp,http://purl.org/mp/
mp:supportedBy,Claim,mp:Representation,mp:Representation,,mp,http://purl.org/mp/
mp:supportedByData,Claim,mp:Representation,mp:Data,,mp,http://purl.org/mp/
mp:supportedByMethod,Claim,mp:Representation,mp:Method,,mp,http://purl.org/mp/
theo:isInfluencedBy,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:isInfluencedNegativelyBy,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:isInfluencedPositivelyBy,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:maybeInfluencedBy,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:correlatesWith,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:valueOf,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:typeOf,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:partOf,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:hasAttribute,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:hasStart,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
theo:hasEnd,Theory,theo:Construal,theo:Construal,,theo,http://www.learn-web.com/ontologies/2023/bcio_extended/
